agency,role,PL,CL,Life,score,NPS,is_easy,comments,category
2101277,Customer Service Representative (CSR),Personal Lines,,Life,10,Promoter,Strongly Agree,I can always get in touch with someone there to answer a question I may have,
3401996,Producer,Personal Lines,,,8,Neutral,Agree,helpful info icons as quoting,Positive
2076,Customer Service Representative (CSR),Personal Lines,,,8,Neutral,Somewhat Agree,Lately - Gramge rates are not good when comparing with Auto Owners- West Bend and even Pekin most times,
2098,Other,Personal Lines,,,10,Promoter,Strongly Agree,EZ of doing Business  system is easy and quick  Service we receive Is good,
21135,Producer,,,Life,9,Neutral,Agree,"You are not the most competitive life carrier, but if it fits, I have no problem offering it to our clients.   Your online quote and submission process makes it easy to do business",Positive
21332,Producer,Personal Lines,Commercial Lines,Life,8,Detractor,Neither Agree nor Disagree,Its not easy to place a Commercial policy with you.,
142,Principal,,Commercial Lines,,8,Promoter,Somewhat Agree,"We have had a terrible time over the last several years from a ""rate"" standpoint in our area.  As a result, we have had a time placing new business with Grange.",
21338,Principal,Personal Lines,,Life,10,Neutral,Somewhat Disagree,"rates out terrible for us.  in the past 5 years we have lost 60% of our book!  weve were told to ""hang in there""  a new auto policy will be coming and we are still waiting.",
22111,Principal,Personal Lines,Commercial Lines,,8,Neutral,Agree,x,Positive
2068,Producer,,Commercial Lines,,8,Neutral,Agree,The web site is pretty easy to use.,Positive
4005,Principal,Personal Lines,Commercial Lines,Life,8,Neutral,Somewhat Agree,,
3401079,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,The underwriters are good to work with and the claims adjusters as well. I strongly feel that our clients get excellent service with Grange,
21076,Producer,Personal Lines,,Life,9,Detractor,Somewhat Agree,need better pricing to compete with the computation Michigan is a tough State  to compete against,
1263,Producer,,Commercial Lines,,7,Neutral,Agree,MY THOUGHTS,Positive
2101336,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Neither Agree nor Disagree,Have not done much with Grange in the past year,
1301579,Producer,,Commercial Lines,,6,Neutral,Neither Agree nor Disagree,I am still feeling out the appetites for each company and I am having a hard time really deciding what to market with Grange,
48185,Customer Service Representative (CSR),Personal Lines,,,6,Neutral,Somewhat Agree,Sometimes the gainwebsite is difficult to navigate,
3401521,Producer,Personal Lines,Commercial Lines,,9,Neutral,Agree,,
21124,Principal,Personal Lines,Commercial Lines,Life,9,Neutral,Somewhat Disagree,Personal lines rates have been brutal for past 4 years in Michigan and not being onboard with Ezlynx hurts,
2101210,Other,Personal Lines,Commercial Lines,Life,9,Neutral,Agree,"easy platform to navigate, would like to see download sent to agent by ivans.",Positive
3401971,Producer,Personal Lines,,,10,Promoter,Strongly Agree,GOOD RATES-EASE OF DOING BUSINESS,
48468,Producer,Personal Lines,,,9,Promoter,Agree,"There was a situation where we weren't able to get an app submitted on the exact due date because of a holiday weekend and a very busy week before that weekend. So, we uploaded it the next week but the rate had spiked quite a bit. Apparently the quote reran the credit/insurance score because the quote was 90 days old the very day I submitted it. However, the effective day was about 5 days prior to that which means it is still in the 90 day quoted period. Instead of Integrity being understanding and just fixing the error. They made me jump through a bunch of hoops and wait about 2 and a half weeks before finally getting an answer. They weren't able to just adjust the quote for some reason, so they had me submit it and pay the amount that the original app showed and then they credited the account on there end. It was very nice that they ended up coming through for me, however, I feel that it was way more work and confusion than there needed to be.",Service
48520,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,your underwriting staff are great to work with and easy,Positive
2101242,Other,Personal Lines,,Life,8,Promoter,Strongly Agree,Good insurance company and reliable.,
39066,Principal,Personal Lines,Commercial Lines,,2,Neutral,Disagree,Grange pulled out of Silverplume PL comparative rating.,
1301540,Producer,Personal Lines,Commercial Lines,,8,Detractor,Somewhat Disagree,Rates are not competitive in my area compared to other carriers.,
4364,Other,Personal Lines,,,9,Promoter,Agree,The home and auto products are a lot more competitive.,Positive
3401145,Customer Service Representative (CSR),Personal Lines,,,6,Promoter,Agree,I feel the website can still use some work but for the most part easy to quote and make changes,Positive
2240,Principal,,Commercial Lines,,8,Detractor,Somewhat Agree,Rates not competitive,
4501472,Producer,Personal Lines,,,9,Promoter,Agree,Your system is easy to use and your rates are competitive,Positive
1129,Producer,Personal Lines,Commercial Lines,Life,8,Promoter,Agree,,
22776,Principal,Personal Lines,,,4,Detractor,Neither Agree nor Disagree,System is not easy to use for changes. Rates are not that competitive,
48581,Customer Service Representative (CSR),,Commercial Lines,,7,Neutral,Somewhat Agree,"Your website is not overly user friendly.  Specific Forms are hard to search for, having to pull separate loss runs for each line, billing is a bit cumbersome as well.",
3701228,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Very helpful when I call. rapid replies.,
3701446,Producer,Personal Lines,,,8,Neutral,Agree,You guys are pretty easy to do business with,Positive
3401608,Producer,Personal Lines,,,9,Promoter,Strongly Agree,Grange has been very competitive and the additional coverages are what clients are requesting.,
3286,Other,Personal Lines,,,9,Promoter,Agree,Grange is easy to deal with.,Positive
1001106,Producer,Personal Lines,,Life,10,Promoter,Agree,,
21231,Customer Service Representative (CSR),Personal Lines,,,5,Detractor,Somewhat Disagree,never been approached by marketing rep to go over procedures with Grange,
4356,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,I always quote Grange for a potential insured and highly recommend them in most situations.,Positive
48381,Principal,Personal Lines,Commercial Lines,,8,Promoter,Agree,"Products have the options, pricing and claims service we need for our clients",Positive
1601113,Principal,Personal Lines,,Life,10,Promoter,Agree,good service,Positive
21312,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Somewhat Agree,,
4057,Other,Personal Lines,Commercial Lines,,8,Neutral,Agree,Good company - website easy to work with.,Positive
4415,Producer,Personal Lines,Commercial Lines,Life,8,Promoter,Somewhat Agree,The GAINWEB interface is very easy to navigate and quote. The hurdles Grange implemented the past few years on Personal Lines and Commercial Lines have made it difficult to write and keep business. Agents' opinions seem to be dismissed no matter how many surveys we take.,
1601221,Principal,Personal Lines,,,9,Promoter,Somewhat Disagree,Grange is a great company - had some issues w needing documents and once documents were submitted - still nothing could be done to save policy,
1601171,Principal,,,Life,9,Promoter,Strongly Agree,real people. real good service,
6131,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,We feel that it is important to have a personal relationship with the underwriting team. Sally Moore our commercial underwriter is an asset to Grange and to the agency. It is great to work with a group of understanding people.,
4281,Principal,Personal Lines,,,10,Promoter,Somewhat Agree,great web site but have no contact in our office with anyone other than personal underwriter for past 5 or so years and now that underwriter has moved on. Billing services is excellent.,
4501397,Principal,Personal Lines,Commercial Lines,,6,Detractor,Somewhat Agree,"maybe its just me, but I have a hard time telling if a policy is issued, bound .. or not",
2101290,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,9,Promoter,Agree,Rating system is pretty easy to get around.  Service center is very helpful,Positive
3401034,Producer,Personal Lines,,,9,Promoter,Strongly Agree,.,
48387,Principal,,Commercial Lines,,9,Promoter,Agree,its true. Web site is user friendly,Positive
1301474,Principal,Personal Lines,,,7,Promoter,Strongly Agree,UW is understanding in evaluating a risk.,
3401806,Producer,Personal Lines,,,10,Promoter,Strongly Agree,Overall good auto rates,
4713,Principal,Personal Lines,Commercial Lines,Life,9,Neutral,Agree,"Most times, but removing eligibility in PC10 has been difficult.  Can't always get commercial underwriting responses.  Claims communication is poor and we have very unhappy clients that we spend too much time with trying to get responses.  With the cutting of commission and us spending more time trying to keep clients, it is getting harder to keep them with Grange.",Positive
4101126,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Agree,"If a customer calls in a change to his auto policy at 4:00 and I can't get the endorsement done before leaving the office at 5:00, then when I put it in the next day I cannot use the correct effective date.  The system won't let me backdate even one day.",Positive
48102,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,,
4642,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Agree,Friendly staff,Positive
21307,Customer Service Representative (CSR),Personal Lines,,,0,Detractor,Disagree,"No contact with support team at Grange, every time I have ever attempted transactions at the website it is difficult to navigate. Rates are not competitive.",
4428,Producer,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,I am very likely to recommend Grange to a client and I do feel Grange makes it easy to do business with them.,
3402005,Other,Personal Lines,,,9,Promoter,Agree,The system has been easy to use.,Positive
4732,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Somewhat Agree,"Rates are mostly competitive when compared to other carriers. Underwriting sometimes makes it difficult to place insurance through Grange. However, the underwriter is knowledgeable and typically explains the reasoning behind each decision.",
4813,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,,
4803,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Strongly Agree,My contacts at Grange are always helpful. I deal mostly with the underwriters and they are always willing to help no matter what the situation.,
